record_type,policy,hour,h2_shortage_kg,affected_hours,p_fc_command_kW,p_fc_realized_kW,fc_hydrogen_limited,definition,realized_quantities_used_in_accounting
affected_hour,C1,4419,1.7763568394002505e-15,,102.47099087051264,102.47099087051265,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5139,3.7631675553484456e-11,,43.6760770907294,43.67607709012929,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5187,2.6645352591003757e-15,,69.2225822997712,69.22258229977115,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5235,8.757883307453085e-12,,29.845946294615857,29.845946294468327,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5259,1.3872458737296256e-11,,102.71005028502154,102.71005028484092,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5306,1.7763568394002505e-15,,121.88003698148218,121.88003698148218,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5332,2.042810365310288e-14,,70.07998864436883,70.07998864436853,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5379,4.440892098500626e-16,,45.68981725741116,45.689817257411164,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5427,3.8191672047105385e-14,,44.407232570023886,44.407232570023275,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5499,8.881784197001252e-16,,70.18880988297813,70.18880988297813,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5523,5.5639048923694645e-11,,78.8357380333716,78.83573803258524,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5547,1.7763568394002505e-15,,64.86733771735737,64.86733771735733,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5643,3.9968028886505635e-15,,56.7186499968097,56.71864999680964,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5667,4.884981308350689e-15,,66.9573440862118,66.95734408621173,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5691,3.4138256665983135e-09,,84.90588540903045,84.90588536178262,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5715,1.3147705146820954e-11,,57.089555698930575,57.08955569873088,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5739,1.1102230246251565e-15,,21.173098901809446,21.17309890180945,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5811,1.7763568394002505e-15,,69.65807517624782,69.65807517624779,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5859,1.9628743075372768e-13,,107.4851495595564,107.4851495595539,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5883,7.105427357601002e-15,,118.16144738026942,118.1614473802694,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,5979,1.5543122344752192e-15,,30.667250635267834,30.667250635267806,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6001,1.3432988055228634e-10,,38.72662144278169,38.72662144060402,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6004,8.881784197001252e-16,,69.28512183340703,69.28512183340702,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6027,1.2168044349891716e-13,,77.4468188753998,77.44681887539808,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6075,4.0318859362287185e-12,,57.7110894194371,57.71108941937605,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6123,1.7763568394002505e-15,,63.118107468987844,63.11810746898783,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6147,8.881784197001252e-16,,94.27545575457096,94.27545575457097,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6174,4.1522341120980855e-13,,65.18704122804473,65.1870412280386,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6190,2.4424906541753444e-15,,19.70621116420234,19.706211164202298,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6219,8.881784197001252e-16,,68.40609874045957,68.40609874045956,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6241,7.436717908149149e-12,,38.29370406491206,38.29370406479137,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6243,6.176392730594671e-12,,38.13324685716441,38.13324685706411,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6264,5.675189207465792e-10,,56.930469722148594,56.930469713537754,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6268,6.521780449020298e-09,,98.38794838109231,98.38794829516738,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6315,1.865174681370263e-14,,83.88375625590565,83.88375625590542,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6408,8.014424679458898e-10,,38.11194395661112,38.1119439436023,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6435,8.881784197001252e-16,,81.89780780710751,81.89780780710751,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6459,2.6645352591003757e-15,,107.2674805571739,107.26748055717387,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6483,2.6645352591003757e-15,,62.05905458139408,62.059054581394044,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6507,2.220446049250313e-15,,41.44386748699088,41.44386748699084,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6555,2.3936408410918375e-12,,48.0592830362064,48.059283036168964,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6626,8.881784197001252e-16,,99.44518215024802,99.44518215024802,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6652,1.7763568394002505e-15,,73.0896541711411,73.08965417114109,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6695,1.2434497875801753e-14,,57.85041127979019,57.85041127978998,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6700,3.552713678800501e-15,,123.22105465846023,123.22105465846019,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6748,3.1086244689504383e-15,,38.06933462820028,38.06933462820022,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6818,1.7763568394002505e-15,,86.99279437778051,86.9927943777805,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6889,4.440892098500626e-16,,59.57003191263742,59.570031912637425,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6892,4.67865746145435e-11,,70.29830544084969,70.29830544017238,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6907,1.822542117224657e-12,,50.48916981880647,50.489169818778244,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6911,1.9206858326015208e-13,,13.831453462275457,13.831453462271936,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6912,9.42582096709727e-07,,3.455244090970571e-05,0.0,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6917,2.220446049250313e-15,,38.046359690705756,38.04635969070572,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6931,8.115730310009894e-14,,8.957722927491185,8.95772292748963,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,6959,3.334541531785362e-10,,31.18404102754007,31.184041021980384,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7010,2.6645352591003757e-15,,50.61315514900332,50.61315514900327,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7013,1.7763568394002505e-15,,70.26785353229795,70.26785353229795,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7084,5.850431250564725e-12,,53.720139715855446,53.720139715765924,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7108,4.6069636994161556e-10,,70.05972788596672,70.05972787929765,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7156,2.6645352591003757e-15,,67.42383259389176,67.42383259389176,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7180,6.199485369506874e-13,,93.46014736680566,93.46014736679733,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7204,4.440892098500626e-15,,79.43556415494467,79.43556415494463,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7228,4.440892098500626e-15,,97.98790213487989,97.98790213487982,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7248,1.7763568394002505e-15,,45.3354810317043,45.33548103170428,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7276,4.440892098500626e-16,,42.38976376203371,42.3897637620337,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7293,2.3514679812208783e-06,,13.091395681787853,13.091352407243972,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7315,9.565681580170349e-13,,64.54376358900832,64.54376358899424,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7345,3.635772127807968e-09,,38.95715637822853,38.95715631956803,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7372,1.0264677996474347e-10,,70.17416724370895,70.17416724222498,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7396,1.8067991547354723e-10,,57.11869782713602,57.11869782440633,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7442,4.566169664599329e-11,,65.80366944023667,65.80366943956693,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7468,8.881784197001252e-16,,52.73576049599159,52.735760495991606,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7510,2.2737367544323206e-13,,37.96708923774511,37.967089237741426,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7514,2.1538326677728037e-14,,18.848018346136282,18.8480183461359,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7538,1.7763568394002505e-15,,111.51648393672384,111.51648393672382,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7631,6.297184995673888e-13,,51.65083094406444,51.65083094405475,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7636,4.4986236957811343e-13,,53.212331023988426,53.212331023981555,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7657,1.9859274225098034e-09,,57.8765716628006,57.876571632899754,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7659,1.0202061417885488e-11,,37.945162126407745,37.945162126242636,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7664,2.0141648349181196e-09,,32.47036333421485,32.47036330088344,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7676,3.3299890622728867e-12,,1.9027808284018823,1.9027808283297407,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7749,6.224798454468328e-12,,40.69130296799312,40.69130296789346,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7754,2.6645352591003757e-15,,70.08167125005946,70.08167125005943,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7772,1.199040866595169e-14,,22.169881481028128,22.169881481027918,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7780,3.552713678800501e-15,,37.931954258994246,37.93195425899418,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7849,4.0678571622265736e-12,,70.05428052507754,70.0542805250188,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7852,3.90265597616235e-12,,69.3858756512962,69.38587565123974,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7867,9.947598300641403e-14,,57.11619815327088,57.116198153269394,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7873,2.7977620220553945e-14,,45.056239999628495,45.05623999962804,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7898,7.401963486586283e-09,,72.94533913301531,72.94533902718896,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7924,3.013607141610919e-10,,37.91307605972296,37.91307605484911,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7948,3.802291814736236e-12,,58.46078828014522,58.46078828008814,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7972,2.1240786907128495e-12,,43.82960024526212,43.829600245228534,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,7996,3.5023580480242344e-08,,68.30176625375464,68.30176574530888,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8016,1.1524559084818975e-11,,60.98864459470436,60.988644594532886,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8065,1.623678969053799e-11,,72.59911096936221,72.59911096912994,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8068,3.552713678800501e-15,,69.9998539969838,69.99985399698376,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8075,1.5074747006238454e-14,,0.7423111096506128,0.7423111096502637,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8077,1.5078355231068485e-12,,0.439722512940228,0.439722512904042,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8083,3.466541419015909e-05,,0.001205455374946493,0.0,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8092,6.618705583605333e-12,,61.50323470802255,61.50323470792426,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8116,4.218847493575595e-14,,57.44044203898618,57.44044203898553,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8120,1.2685177352977917e-09,,95.8334628863437,95.83346286960183,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8136,3.6552889159935376e-08,,32.41800882514349,32.41800822092053,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8164,4.707167988726724e-11,,124.95936194804803,124.95936194749697,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8258,1.907585200910944e-10,,40.86026775520195,40.860267752154954,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8285,1.3322676295501878e-15,,61.92416872115195,61.924168721151936,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8304,9.14823772291129e-14,,78.29510316736716,78.29510316736588,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8403,1.2994938458632532e-11,,86.56550921053262,86.5655092103556,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8420,6.953326803227355e-13,,14.059558420817996,14.059558420805333,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8429,1.7763568394002505e-15,,72.12880900746006,72.12880900746003,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8476,7.549516567451064e-15,,37.78355434434224,37.78355434434212,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8494,1.1102230246251565e-15,,29.92508144246559,29.925081442465586,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8498,5.4400828286560454e-09,,33.68622174176052,33.68622165241914,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8501,8.881784197001252e-16,,69.88195092443362,69.88195092443364,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8523,7.66086571957203e-09,,69.87505340762056,69.87505329721785,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8549,1.1546319456101628e-14,,61.427047423301765,61.42704742330158,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8564,4.59393322155231e-12,,3.562850053658519e-05,3.562833287316651e-05,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8572,8.881784197001252e-16,,76.62780663462468,76.62780663462466,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8594,2.6551560949883424e-09,,80.01352907159155,80.0135290346301,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8620,1.7763568394002505e-15,,77.68068878312779,77.6806887831278,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8645,1.7384538253395476e-10,,39.75182006573564,39.751820062950614,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8693,3.4727776210274897e-13,,69.82953357367765,69.82953357367266,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8716,8.881784197001252e-16,,86.46846153906557,86.46846153906559,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,8740,1.7763568394002505e-15,,69.81785161959725,69.8178516195972,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
